# case	disease	pipeline_name	pipeline_version	timestamp	C3Y	DCC_path	filesize	file_format	md5sum	Sample Type	Sample_Name_Seq_R1	UUID1_R1	Sample_Name_Seq_R2	UUID_R2
C3L-02352	CCRCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02352_tumor.transcripts.gtf.gz	20149637	gtf	49708a4247775c265fd169a0b1d24730	tumor	C3L-02352.RNA-Seq.R1.T	fd5263b8-c893-46c7-bb26-f9631fdfa767	C3L-02352.RNA-Seq.R2.T	c6b90cf8-197a-4924-870a-10c06fb61a4c
C3L-02353	UCEC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02353_tissue_normal.transcripts.gtf.gz	19835913	gtf	f7b6271a7f059e7ab31d28a90d89b36f	tissue_normal	C3L-02353.RNA-Seq.R1.A	276387f5-9cac-46d2-83b6-16832362c175	C3L-02353.RNA-Seq.R2.A	4e769a79-a59a-4fda-9c5b-a4515601051b
C3L-02353	UCEC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02353_tumor.transcripts.gtf.gz	20840309	gtf	490b8cbd9482569df963fec99b5ac5e5	tumor	C3L-02353.RNA-Seq.R1.T	fc5ae671-1623-40e6-91fa-46462bfd5231	C3L-02353.RNA-Seq.R2.T	5c918460-2c92-4a1c-9a8f-a7f16bb06db3
C3L-02354_tumor	UCEC	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-02354_tumor.transcripts.gtf.gz	20329896	gtf	db288be93f1dea0929615db16b046fdb	tumor	C3L-02354.RNA-Seq.R1.T	fb47a896-7af6-4e75-8fb6-81e608e926a0	C3L-02354.RNA-Seq.R2.T	e026f8ff-6f40-48fb-91e3-68f6d41f297d
C3L-02357	UCEC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02357_tumor.transcripts.gtf.gz	19187093	gtf	fef3fd5bcfd51ac63ea7c2b488e344d3	tumor	C3L-02357.RNA-Seq.R1.T	9de78dc5-bd69-4f6e-88ca-976587003124	C3L-02357.RNA-Seq.R2.T	9ed83cfd-1128-4782-89bc-98cfa1a103b2
C3L-02358	LSCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02358_tissue_normal.transcripts.gtf.gz	21704186	gtf	73761e6ecdf2a92ec6d7e22e5fb3ba66	tissue_normal	C3L-02358.RNA-Seq.R1.A	236bb774-3d11-4c6e-9176-e1eb0156fcff	C3L-02358.RNA-Seq.R2.A	115fe20f-5864-4c22-aea0-15508567ce43
C3L-02358	LSCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02358_tumor.transcripts.gtf.gz	20274854	gtf	46b761163bdfba6bcb6db471eaf1e977	tumor	C3L-02358.RNA-Seq.R1.T	ecbf1693-e7ea-4827-9399-62f8aa51580c	C3L-02358.RNA-Seq.R2.T	6a371efe-48bf-46c1-a0ec-1cbdf4ec213c
C3L-02364	CCRCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02364_tissue_normal.transcripts.gtf.gz	21158139	gtf	5c0bf434bdfa06c453bda400b6c3d1f5	tissue_normal	C3L-02364.RNA-Seq.R1.A	0760a34f-9aea-4ff2-b483-d839ed122de2	C3L-02364.RNA-Seq.R2.A	0eef987f-3753-4acb-9eaf-a53b8ea4eadc
C3L-02364	CCRCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02364_tumor.transcripts.gtf.gz	20410632	gtf	c5068927826c8d0f397d6193c8803eaa	tumor	C3L-02364.RNA-Seq.R1.T	5e5a9caa-7311-4fd9-b74f-88bfa77fd888	C3L-02364.RNA-Seq.R2.T	383c1c61-a592-4c23-81cf-93b388dd9c49
C3L-02384_tumor	UCEC	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-02384_tumor.transcripts.gtf.gz	20943205	gtf	0c8db41be08f86d9df3ecc80d27dd1de	tumor	C3L-02384.RNA-Seq.R1.T	bdfbbbe6-04e0-4e78-8479-ef149f9f1f24	C3L-02384.RNA-Seq.R2.T	7c24aefc-d4ad-4ee9-8525-7b13339c71f3
C3L-02395_tumor	UCEC	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-02395_tumor.transcripts.gtf.gz	20528556	gtf	4783af873de81d7277c70a4ad311b4bd	tumor	C3L-02395.RNA-Seq.R1.T	8c397a94-8db3-4dfa-b835-89d7a2222100	C3L-02395.RNA-Seq.R2.T	182ef355-f6af-4b1f-b04b-caeab03bc32a
C3L-02408	UCEC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02408_tissue_normal.transcripts.gtf.gz	18476997	gtf	f2c0206d0e434d7ca479b4a9f8052db1	tissue_normal	C3L-02408.RNA-Seq.R1.A	2b713127-596d-41f7-8332-764d2378b685	C3L-02408.RNA-Seq.R2.A	a3616b7f-20e4-420b-91ce-cb3e5ba405a1
C3L-02408	UCEC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02408_tumor.transcripts.gtf.gz	20658124	gtf	4b20906061b6588cc4c24ec99fb7dd3c	tumor	C3L-02408.RNA-Seq.R1.T	56d41787-3417-42a0-acae-f42e2f41e9ff	C3L-02408.RNA-Seq.R2.T	ff70f9a0-0fc2-4619-83c6-43d206e6ce66
C3L-02409	UCEC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02409_tissue_normal.transcripts.gtf.gz	19472678	gtf	08984418c13d3e277cd15e450e2041a4	tissue_normal	C3L-02409.RNA-Seq.R1.A	a6927022-909e-40cc-b062-2b7392ddf701	C3L-02409.RNA-Seq.R2.A	43b350af-96f0-492c-9983-23ccd7366854
C3L-02409	UCEC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02409_tumor.transcripts.gtf.gz	20317846	gtf	f03e92f58bfee545efdae7fedb900d59	tumor	C3L-02409.RNA-Seq.R1.T	14bb434c-51e3-453e-aad4-44249dd90ed5	C3L-02409.RNA-Seq.R2.T	c024635f-5f2c-4144-9f96-b84ef4df26d1
C3L-02411	UCEC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02411_tumor.transcripts.gtf.gz	18321506	gtf	65b9fb4e3cd4c26cfab516f1f107973b	tumor	C3L-02411.RNA-Seq.R1.T	f774f09c-dc3a-4bc7-a507-e60277660a00	C3L-02411.RNA-Seq.R2.T	4a5b8233-dfb8-4b8d-822d-e58724ec646b
C3L-02412	UCEC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02412_tissue_normal.transcripts.gtf.gz	19871659	gtf	05cc519ee798b41689ef9a073fb046d4	tissue_normal	C3L-02412.RNA-Seq.R1.A	e05c93fc-1e4f-4d51-82a7-58c01816a142	C3L-02412.RNA-Seq.R2.A	5f1eae01-e250-4622-8fff-f3d8212dcd83
C3L-02412	UCEC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02412_tumor.transcripts.gtf.gz	19767467	gtf	4337289a170e8c967fd45100aee5b539	tumor	C3L-02412.RNA-Seq.R1.T	9e02b72f-5d15-4ebd-ad2d-d90b9cfca76a	C3L-02412.RNA-Seq.R2.T	e52c832f-62e8-4c01-b6f9-6146fff0feb9
C3L-02463_tissue_normal	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-02463_tissue_normal.transcripts.gtf.gz	20224139	gtf	6b850d9f877803f2d5893a4aae328f29	tissue_normal	C3L-02463.RNA-Seq.R1.A	30e3fce0-6014-4930-bad1-76b80c5bf529	C3L-02463.RNA-Seq.R2.A	e1f56e1d-17f4-447b-b60d-0ba0da66268d
C3L-02463_tumor	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-02463_tumor.transcripts.gtf.gz	21521830	gtf	759d0ef1ae236a1362826b5b81558571	tumor	C3L-02463.RNA-Seq.R1.T	950545ec-e02e-4c64-8b58-8a1918505cad	C3L-02463.RNA-Seq.R2.T	348dab83-76e4-454e-8880-cd277acefa07
C3L-02465	GBM	RNA-Seq_Transcript	v1	20190426	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_v1_Y2.b1_20190426/C3L-02465_tumor.transcripts.gtf.gz	21392026	gtf	ee5d044b53307f3a081330141aa1a706	tumor	C3L-02465.RNA-Seq.R1.T	ac4f58b0-4652-4aba-bba6-62f1cd4660f4	C3L-02465.RNA-Seq.R2.T	806543ec-69d2-4461-8a3f-bbd40a94ddb2
C3L-02468	UCEC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02468_tissue_normal.transcripts.gtf.gz	19339980	gtf	54d3aa33f4c95ebfa8f0961c9dbc3d5d	tissue_normal	C3L-02468.RNA-Seq.R1.A	58ab7a47-f657-44d3-b62b-41bf5f3810c3	C3L-02468.RNA-Seq.R2.A	8d47d4f6-0bad-42d0-acb6-194bf1d0b874
C3L-02468	UCEC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02468_tumor.transcripts.gtf.gz	19135360	gtf	a0ec2c2581e215211cd4fc00fcd4232d	tumor	C3L-02468.RNA-Seq.R1.T	03e743a3-9e1d-4b19-876d-8aca16db36a6	C3L-02468.RNA-Seq.R2.T	68db2989-e11f-43ac-9aa3-49c7423d98d2
C3L-02504	GBM	RNA-Seq_Transcript	v1	20190426	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_v1_Y2.b1_20190426/C3L-02504_tumor.transcripts.gtf.gz	21824880	gtf	4c479974b2f3320527381899df6bd507	tumor	C3L-02504.RNA-Seq.R1.T	610f16a0-bf50-479f-879e-175a725fbca8	C3L-02504.RNA-Seq.R2.T	03bfaa3f-e68a-46a5-90e3-5af109ded101
C3L-02542	GBM	RNA-Seq_Transcript	v1	20190426	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_v1_Y2.b1_20190426/C3L-02542_tumor.transcripts.gtf.gz	20531823	gtf	04de2c0fab229913a0d089fca4cdd94a	tumor	C3L-02542.RNA-Seq.R1.T	148dde8b-7f53-4016-9aef-da06c36753a1	C3L-02542.RNA-Seq.R2.T	d6009fd4-a604-4924-a56b-4894e2db69d1
C3L-02544	CCRCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02544_tissue_normal.transcripts.gtf.gz	21272104	gtf	57287e25004fd08ab34e49e3669cfbe1	tissue_normal	C3L-02544.RNA-Seq.R1.A	1c7eb3e8-82ba-4343-a042-072fcc3794ff	C3L-02544.RNA-Seq.R2.A	f526c9ce-0d0f-4a65-869d-2706062c141e
C3L-02544	CCRCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02544_tumor.transcripts.gtf.gz	20180201	gtf	9fb379eb9d2f9574ea6e9c69624d79c5	tumor	C3L-02544.RNA-Seq.R1.T	d4cfc0a2-2492-41cb-9568-a4f46275642a	C3L-02544.RNA-Seq.R2.T	22f1da09-4dcf-4b82-aa88-5fc6b17d7fde
C3L-02545	UCEC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02545_tumor.transcripts.gtf.gz	19702079	gtf	021e2ac1d16d6e6b1f336b430e629b7e	tumor	C3L-02545.RNA-Seq.R1.T	bcef598c-348e-4e73-9f94-e9c932caf978	C3L-02545.RNA-Seq.R2.T	995d0b42-9e1a-403f-996d-6926d76a2ea0
C3L-02546	LSCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02546_tissue_normal.transcripts.gtf.gz	20060649	gtf	b77e77dab081c11b60f5c5ab697de48d	tissue_normal	C3L-02546.RNA-Seq.R1.A	ea37fd16-da19-47cf-970e-010d21723214	C3L-02546.RNA-Seq.R2.A	d7c32ece-35aa-4c16-850a-5e00b660fb62
C3L-02546	LSCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02546_tumor.transcripts.gtf.gz	20539280	gtf	82ab59a97a5caaab40d7ccdf7af397c3	tumor	C3L-02546.RNA-Seq.R1.T	afb20289-623e-41ba-8730-b3414c9e6f1f	C3L-02546.RNA-Seq.R2.T	9b8abc9d-9c19-4032-a25c-31b682b98864
C3L-02551	CCRCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02551_tissue_normal.transcripts.gtf.gz	21320383	gtf	02deb642dd3cd521e3260888fc4c7388	tissue_normal	C3L-02551.RNA-Seq.R1.A	910966f5-e33e-4593-9c02-8e8c24b9278d	C3L-02551.RNA-Seq.R2.A	d4324acb-ef41-4cc6-a5b5-c5512b8dee91
C3L-02551	CCRCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02551_tumor.transcripts.gtf.gz	20991447	gtf	2abaa6b9361a24e934c08524154e18be	tumor	C3L-02551.RNA-Seq.R1.T	fb3087ed-d401-4e42-b2a1-1cbe372e5e5a	C3L-02551.RNA-Seq.R2.T	29354421-b9e4-4e98-bdec-82288547acd9
C3L-02552	LSCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02552_tissue_normal.transcripts.gtf.gz	21710201	gtf	82454f67e1d0da3e312069c0cbe3c9c8	tissue_normal	C3L-02552.RNA-Seq.R1.A	c35cc88e-f3b6-408e-9e9c-f00aa6607b53	C3L-02552.RNA-Seq.R2.A	1564591b-36f6-4214-8c07-af3fd3eb641a
C3L-02552	LSCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02552_tumor.transcripts.gtf.gz	20724580	gtf	c03fae8925cc6a2003699cc1e10a6b3f	tumor	C3L-02552.RNA-Seq.R1.T	854f3883-871e-4852-83ec-c2b27d8f37da	C3L-02552.RNA-Seq.R2.T	85099c50-e631-4f61-8413-f75281338558
C3L-02553	CCRCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02553_tumor.transcripts.gtf.gz	20214867	gtf	2bcc90c3c904438b213bb664a870403e	tumor	C3L-02553.RNA-Seq.R1.T	f42869fb-76c2-4126-98b5-13345c6a056e	C3L-02553.RNA-Seq.R2.T	123e166f-c0f7-437f-a25c-9df6da0eba4b
C3L-02555	UCEC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02555_tumor.transcripts.gtf.gz	20883166	gtf	0378d57ee0b3c380cd563950e358be29	tumor	C3L-02555.RNA-Seq.R1.T	db713eb3-15ae-4a94-aeab-bdca4eeba52d	C3L-02555.RNA-Seq.R2.T	69243744-6ba4-4e00-a51a-6e4189ad24c5
C3L-02556	CCRCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02556_tissue_normal.transcripts.gtf.gz	20743531	gtf	5e09c43b76663a2117caf221c914c296	tissue_normal	C3L-02556.RNA-Seq.R1.A	b22c88c6-36ff-4e53-b1a5-937c3ee821bc	C3L-02556.RNA-Seq.R2.A	ee6733dd-b380-426e-945a-f18640e23c50
C3L-02556	CCRCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02556_tumor.transcripts.gtf.gz	20031059	gtf	1f4e642c059688f0ac88198354f4125b	tumor	C3L-02556.RNA-Seq.R1.T	b717e57d-8708-49d4-9132-7536787e70b6	C3L-02556.RNA-Seq.R2.T	b95128aa-5522-40e5-bb51-d469d38f8ccb
C3L-02557	UCEC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02557_tissue_normal.transcripts.gtf.gz	19532307	gtf	c023ebbec8b8a7b48e6a4c570564cd93	tissue_normal	C3L-02557.RNA-Seq.R1.A	433a6377-20d2-4216-9912-d7f6f1f35013	C3L-02557.RNA-Seq.R2.A	88b45d63-9c6d-41d2-b919-2008598de3bc
C3L-02557	UCEC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02557_tumor.transcripts.gtf.gz	18008295	gtf	c9f86d0f3b3458e0209e7c1783147b3b	tumor	C3L-02557.RNA-Seq.R1.T	33cbabe8-0746-41b2-ada5-7b668b6cedfc	C3L-02557.RNA-Seq.R2.T	2cd64bbc-c722-40ab-ae0f-2b475b8ddf90
C3L-02559	LUAD	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02559_tissue_normal.transcripts.gtf.gz	20856894	gtf	f113ce6ad038984dd214979b3ee7e088	tissue_normal	C3L-02559.RNA-Seq.R1.A	8f33216c-d930-4b62-b486-fc174d828c87	C3L-02559.RNA-Seq.R2.A	eb96735b-b6f3-4f09-ac7e-4687d395bccd
C3L-02559	LUAD	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02559_tumor.transcripts.gtf.gz	20319523	gtf	7540f5571e8a883ee13d6e08c72d9258	tumor	C3L-02559.RNA-Seq.R1.T	ab7aee22-bbe6-44ff-b4a1-eb747707105f	C3L-02559.RNA-Seq.R2.T	7813027e-f048-44fb-8774-5fde1c2f3a44
C3L-02560	LUAD	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02560_tissue_normal.transcripts.gtf.gz	21530539	gtf	bbf8a1197d845b474a4d875ee0224c86	tissue_normal	C3L-02560.RNA-Seq.R1.A	51c04bce-ad69-469b-98dc-8c69a227c7be	C3L-02560.RNA-Seq.R2.A	7464a550-6337-4d64-ba60-5ed008c79aea
C3L-02560	LUAD	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02560_tumor.transcripts.gtf.gz	20063255	gtf	62716f72e458efec07042b2b8aa94dec	tumor	C3L-02560.RNA-Seq.R1.T	f27b1c4d-286d-4e6a-be1f-25990e08b452	C3L-02560.RNA-Seq.R2.T	815eeddf-9d16-404d-ab02-0e79d61f2d10
C3L-02601	LUAD	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02601_tissue_normal.transcripts.gtf.gz	19361283	gtf	8c4a4a77a6b9cdd09d2895de00bc1a83	tissue_normal	C3L-02601.RNA-Seq.R1.A	34399ca8-37a1-44a2-aa17-feafa1f65fa4	C3L-02601.RNA-Seq.R2.A	2c8b66ba-7d17-4911-9111-0b8d3daec383
C3L-02601	LUAD	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02601_tumor.transcripts.gtf.gz	20386233	gtf	13fb5d220471b6191ba3174cfae1cdc7	tumor	C3L-02601.RNA-Seq.R1.T	e4d09861-9283-4247-9875-86db45537856	C3L-02601.RNA-Seq.R2.T	26763bb2-4879-4636-b85d-d245a59e8518
C3L-02602	UCEC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02602_tissue_normal.transcripts.gtf.gz	19029092	gtf	4bcd55b510615bd5625cefa5c259f6ab	tissue_normal	C3L-02602.RNA-Seq.R1.A	035da6f8-64e8-4bf8-9187-3830ed902225	C3L-02602.RNA-Seq.R2.A	f8148ef7-a85c-4263-9ba0-7af1b18eac26
C3L-02602	UCEC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02602_tumor.transcripts.gtf.gz	20238555	gtf	6141171c59d699691670ddacbfff98ec	tumor	C3L-02602.RNA-Seq.R1.T	90d6f0a0-a3f7-497d-a876-77a58f6dea3e	C3L-02602.RNA-Seq.R2.T	112bfd35-f6a1-425d-96c4-b123f852ae4b
C3L-02606_tissue_normal	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-02606_tissue_normal.transcripts.gtf.gz	19965915	gtf	cbc1e9c2bfdf7ca7fa39e41cb651a2e6	tissue_normal	C3L-02606.RNA-Seq.R1.A	a23673c8-562a-421e-b235-47642a82c5f2	C3L-02606.RNA-Seq.R2.A	8f6a4f28-bf7e-4b44-8627-170a453a7c29
C3L-02606_tumor	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-02606_tumor.transcripts.gtf.gz	19471686	gtf	91340fb186b9e9b94b5a68909facdf7c	tumor	C3L-02606.RNA-Seq.R1.T	5c886d75-3eda-4164-bbde-589182b17c58	C3L-02606.RNA-Seq.R2.T	090a41ea-c68c-4947-891f-2dcc24b73a29
C3L-02610_tissue_normal	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-02610_tissue_normal.transcripts.gtf.gz	19355850	gtf	96985e71a0be8259450b78a6d2f9fb37	tissue_normal	C3L-02610.RNA-Seq.R1.A	d888a4c7-71dc-4b3c-80d4-53e83ec6374a	C3L-02610.RNA-Seq.R2.A	937e7f27-44e7-4288-9723-95c10f841789
C3L-02610_tumor	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-02610_tumor.transcripts.gtf.gz	19748128	gtf	614389003a411a90dec63d4a5a916465	tumor	C3L-02610.RNA-Seq.R1.T	fd11aa88-b072-423d-8983-f59a2275eeae	C3L-02610.RNA-Seq.R2.T	c9d906a9-491e-4e3b-90a6-d3c466b8cc1e
C3L-02613_tissue_normal	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-02613_tissue_normal.transcripts.gtf.gz	18770158	gtf	0dde05403cecb149ac674702b8ce3879	tissue_normal	C3L-02613.RNA-Seq.R1.A	bb6960c6-9c3e-4b5f-97c3-e7da6872ca28	C3L-02613.RNA-Seq.R2.A	8a57f7a7-b6a5-4ca1-86b9-090b05360391
C3L-02613_tumor	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-02613_tumor.transcripts.gtf.gz	19180276	gtf	8ba1b2ae052a70e8366fb622aba2494a	tumor	C3L-02613.RNA-Seq.R1.T	44bba21e-a3f3-4772-bcc9-fab3b5382c16	C3L-02613.RNA-Seq.R2.T	a744f47c-65a7-4686-ad73-10ccea4cb64e
C3L-02616	LUAD	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-02616_tissue_normal.transcripts.gtf.gz	22609006	gtf	ff56ee1b9dfba04835fc9fd56aef7933	tissue_normal	C3L-02616.RNA-Seq.R1.A	5ff069db-1f4c-4774-81ee-f309d4328132	C3L-02616.RNA-Seq.R2.A	60c4b618-17e4-4a7c-9e22-7c0edf40e5bb
